BMT:4th Avenue:25 St:R,,,,,,,,,,:FALSE::FALSE:Stair:YES::FULL:4th Ave:25th St:SE:40660323:-73997952
BMT:4th Avenue:36 St:N,R,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:4th Ave:36th St:NE:40654365:-74004113
BMT:4th Avenue:4 Av-9 St:F,G,R,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:4th Ave:9th St:NE:40670387:-73988480
BMT:4th Avenue:45 St:R,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:4th Ave:45th St:NE:40649389:-74009333
BMT:4th Avenue:53 St:R,,,,,,,,,,:FALSE::TRUE:Stair:NO:YES:NONE:4th Ave:52nd St:NW:40645619:-74013688
BMT:4th Avenue:59 St:N,R,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:4th Ave:59th St:NE:40641633:-74017362
BMT:4th Avenue:77 St:R,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:4th Ave:77th St:NE:40629503:-74025452
BMT:4th Avenue:86 St:R,,,,,,,,,,:FALSE::TRUE:Stair:YES::NONE:4th Ave:85th St:SW:40623498:-74028204
BMT:4th Avenue:95 St:R,,,,,,,,,,:FALSE::TRUE:Stair:YES::NONE:4th Ave:93th St:NE:40617363:-74030404
BMT:4th Avenue:Atlantic Av-Pacific St:B,D,N,Q,R,2,3,4,5,,:TRUE::TRUE:Stair:YES::FULL:4th Ave:Pacific St:NE:40683928:-73978412
BMT:4th Avenue:Bay Ridge Av:R,,,,,,,,,,:FALSE::TRUE:Stair:NO:YES:NONE:4th Ave:68th St:NW:40635468:-74023313
BMT:4th Avenue:DeKalb Av:Q,R,,,,,,,,,:TRUE::TRUE:Stair:YES::FULL:Flatbush Ave:De Kalb Ave:SE:40689817:-73981082
BMT:4th Avenue:Prospect Av:R,,,,,,,,,,:FALSE::FALSE:Stair:YES::FULL:4th Ave:Prospect Ave:NE:40665299:-73992729
BMT:4th Avenue:Union St:R,,,,,,,,,,:FALSE::FALSE:Stair:YES::FULL:4th Ave:Union St:SE:40677171:-73983020
BMT:Astoria:30 Av:N,Q,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:31st St:30th Ave:NE:40766963:-73921192
BMT:Astoria:36 Av:N,Q,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:31st St:36th Ave:NW:40756796:-73929740
BMT:Astoria:39 Av:N,Q,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:31st St:39th Ave:NW:40752901:-73932903
BMT:Astoria:Astoria Blvd:N,Q,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:31st St:Hoyt Ave North:NE:40770870:-73916935
BMT:Astoria:Astoria-Ditmars Blvd:N,Q,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:31st St:23rd Ave:NE:40775025:-73911891
BMT:Astoria:Broadway:N,Q,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:31st St:Broadway:NW:40762217:-73925349
BMT:Brighton:7 Av:B,Q,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Carlton Ave:Park Pl:SE:40677324:-73972212
